"Escenario","Prior","ESS_a","ESS_b","AR_a_pct","AR_b_pct","Rhat_a","Rhat_b"
"Prov3_Esce_65","TTB",2032.7,1985.8,58.7,58.7,1,1.001
"Prov3_Esce_66","Gamma",1948.7,2142.4,61.9,61.9,1.002,1
"Prov3_Esce_66","Jeffreys",1927.1,1954.1,69.2,69.2,1.001,1.002
"Prov3_Esce_66","TTB",1780.7,2259.4,64.3,64.3,1.001,1.001
"Prov3_Esce_67","Gamma",1857.3,1839.1,71.3,71.3,1.001,1
"Prov3_Esce_67","Jeffreys",1676.5,1640.3,69.2,69.2,1.001,1.001
"Prov3_Esce_67","TTB",1959.3,2014.8,69.2,69.2,1.003,1.004
"Prov3_Esce_68","Gamma",1795.8,1873.4,55.4,55.4,1.004,1.002
"Prov3_Esce_68","Jeffreys",1878.2,1860.8,69.6,69.6,1.001,1.001
"Prov3_Esce_68","TTB",1982.3,1865.2,63.2,63.2,1.001,1.001
"Prov3_Esce_69","Gamma",1946.5,1897.4,74.2,74.2,1.001,1.001
"Prov3_Esce_69","Jeffreys",1714.7,1810.4,72.3,72.3,1,1
"Prov3_Esce_69","TTB",1980.2,1980.7,68.1,68.1,1,1.001
"Prov3_Esce_70","Gamma",1911.8,1855.5,58.7,58.7,1.003,1.004
"Prov3_Esce_70","Jeffreys",1806,1759.6,56.3,56.3,1.003,1.004
"Prov3_Esce_70","TTB",2079.8,2103.6,71.5,71.5,1.001,1.001
"Prov3_Esce_71","Gamma",2128.1,1819.9,69.7,69.7,1,1.001
"Prov3_Esce_71","Jeffreys",1982.5,1936.8,63.9,63.9,1,1
"Prov3_Esce_71","TTB",2068.5,2102.4,68.6,68.6,1.001,1
"Prov3_Esce_72","Gamma",2055.5,2060.7,66.3,66.3,1,1
"Prov3_Esce_72","Jeffreys",1952.7,2022.4,69.1,69.1,1,1
"Prov3_Esce_72","TTB",1996.8,1972.3,60.8,60.8,1,1.001
